RA,DEC
310.378,-51.6168
302.693,-55.6917
54.5676,-60.2408
12.8753,-52.4966
35.7979,-54.8626
71.7867,-55.6189
20.7983,-42.8125
16.5832,-56.0757
303.800,-50.5659
89.1858,-56.3094
69.8681,-57.1396
329.881,-1.42386
46.8514,-49.8774
6.40243,-49.4150
23.7109,-48.5236
34.0315,-53.7586
43.7111,-57.2526
79.7460,-58.0541
340.287,-53.1782
47.2081,-49.3173
309.563,-56.9552
12.8459,-42.2015
335.201,1.57954
302.876,-58.6907
27.6504,-43.0982
314.643,-58.7639
65.9724,-59.3828
18.7675,-46.2719
8.87335,-42.9997
17.6734,-49.0914
69.1088,-46.3326
341.790,-0.837409
309.406,-49.7640
338.842,-54.0754
69.8949,-49.2490
329.578,1.31304
21.3139,-55.4855
46.7520,-53.4382
13.9795,-45.6910
327.892,-58.4844
54.4349,-53.1009
55.6679,-51.5958
82.5544,-53.7976
30.6232,-51.8030
52.2935,-59.4547
48.1594,-43.9293
328.626,-58.0929
29.3810,-52.6671
20.2010,-51.3130
341.336,0.321913
68.6726,-46.4965
50.6027,-51.0929
347.738,0.0291710
4.45529,-56.3114
349.178,-59.0409
36.5668,-50.8999
17.2303,-46.7260
94.9168,-44.7290
92.6600,-48.5394
24.6092,-58.2764
76.7348,-43.1591
55.6839,-41.6082
353.027,-1.53605
73.1310,-42.0032
329.254,0.966887
50.4017,-44.3819
25.5432,-54.6595
72.4173,-53.1766
343.260,-1.00307
75.8158,-45.2152
14.5311,-41.0305
78.9823,-47.2411
95.8548,-46.2508
58.6253,-50.3699
345.806,-44.1142
340.092,-1.51011
347.587,-52.0640
338.767,-57.6520
21.6762,-52.6365
90.5435,-51.9111
64.8368,-63.4453
54.1400,-41.5276
48.5414,-58.5825
53.4402,-57.8317
35.6778,-40.4785
77.7959,-53.1311
345.345,-51.6952
13.9725,-55.4189
29.5761,-42.6865
9.91390,-52.8443
76.4729,-56.4268
331.871,0.337976
307.001,-56.8104
64.0993,-43.9394
98.2756,-55.0097
0.686415,0.673067
342.948,-53.3374
43.2969,-53.2264
353.155,-51.5489
90.2122,-61.4109
342.002,-1.15724
354.669,-54.9804
